title,url,img_ref,star_count,review_count,price,is_free_shipping,shipping_price,limited_stock,additional_buy_options
"Indiana Hoosiers Adult Game Bar Adjustable Snapback Hat - White,",https://amazon.com/Indiana-Hoosiers-Unisex-Game-Adjustable/dp/B01M0602U1/ref=sr_1_28?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-28,https://m.media-amazon.com/images/I/61Wc5UN5XnL._AC_UL960_QL65_ML3_.jpg,4.0,2,$17.99,True,,,False
"NCAA Iowa State Cyclones Unisex NCAA The Game bar Design Hat, White, Adjustable",https://amazon.com/Cyclones-Unisex-Game-Design-Adjustable/dp/B01LZIIBUM/ref=sr_1_29?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-29,https://m.media-amazon.com/images/I/61QyTRp7fRL._AC_UL960_QL65_ML3_.jpg,5.0,1,$17.77,True,,,False
Temple Owls Adult Game Bar Adjustable Hat - White,https://amazon.com/Game-Temple-Unisex-Design-Adjustable/dp/B01LZ49OYP/ref=sr_1_30?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-30,https://m.media-amazon.com/images/I/61YsJgCyjNL._AC_UL960_QL65_ML3_.jpg,5.0,2,$17.58,True,,,False
Zephyr Men's Temple Owls Competitor Zwool Adjustable Hat Size: Adj Cardinal,https://amazon.com/Zephyr-Temple-Competitor-Adjustable-Cardinal/dp/B01N499SHH/ref=sr_1_31?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-31,https://m.media-amazon.com/images/I/71lXUO9a4YL._AC_UL960_QL65_ML3_.jpg,5.0,1,$20.75,False,$6.97,,False
"NCAA North Carolina State Wolfpack Unisex NCAA The Game bar Design Hat, White, Adjustable",https://amazon.com/Carolina-Wolfpack-Unisex-Game-Adjustable/dp/B01LY7N14D/ref=sr_1_32?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-32,https://m.media-amazon.com/images/I/616Wdmnv8HL._AC_UL960_QL65_ML3_.jpg,3.0,1,$17.29,True,,,False
CampusHats Temple University TU Owls Cherry Red Jersey Mesh Owl Head Men/Womens Top Adjustable Visor,https://amazon.com/CampusHats-Temple-University-Cherry-Adjustable/dp/B07V86Y3Y7/ref=sr_1_33?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-33,https://m.media-amazon.com/images/I/21+Ghq-TQUL._AC_UL320_ML3_.jpg,5.0,2,$19.99,True,,,False
"NCAA Iowa State Cyclones Unisex NCAA The Game bar Design Hat, White, Adjustable",https://amazon.com/Cyclones-Unisex-Game-Design-Adjustable/dp/B01M0HORW2/ref=sr_1_34?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-34,https://m.media-amazon.com/images/I/61xP-QqLR4L._AC_UL960_QL65_ML3_.jpg,,,$17.99,True,,,False
"NCAA Kansas Jayhawks Unisex NCAA The Game bar Design Hat, White, Adjustable",https://amazon.com/Kansas-Jayhawks-Unisex-Game-Adjustable/dp/B01M0HOMU0/ref=sr_1_35?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-35,https://m.media-amazon.com/images/I/61s7f3uFwdL._AC_UL960_QL65_ML3_.jpg,4.2,2,$16.59,True,,,False
"New Era Colorado Buffaloes Adult NCAA Stated Trucker Meshback Hat - Team Color,",https://amazon.com/New-Era-Colorado-Buffaloes-Meshback/dp/B07HY9WQ5C/ref=sr_1_36?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-36,https://m.media-amazon.com/images/I/617RWQZo8jL._AC_UL960_QL65_ML3_.jpg,,,$24.05,False,$4.95,,False
Captivating Headgear Tennessee Volunteers Adjustable Cap Logo Hat,https://amazon.com/Tennessee-Volunteers-Adjustable-Logo-Black/dp/B01CT8684M/ref=sr_1_37?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-37,https://m.media-amazon.com/images/I/71SRNbg7DgL._AC_UL960_QL65_ML3_.jpg,,,$15.99,True,,,False
"Top of the World NCAA Tennessee Volunteers Fresh Adjustable Hat, One Size, Charcoal Gray",https://amazon.com/Top-World-Tennessee-Volunteers-Adjustable/dp/B01LWRBLW1/ref=sr_1_38?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-38,https://m.media-amazon.com/images/I/716w38gi9VL._AC_UL960_QL65_ML3_.jpg,,,$9.95,False,$4.95,,False
