title,url,img_ref,star_count,review_count,price,is_free_shipping,shipping_price,limited_stock,additional_buy_options
"Sony X800H 75 Inch TV: 4K Ultra HD Smart LED TV with HDR and Alexa Compatibility - 2020 Model, XBR75X800H",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_2?ie=UTF8&adId=A0810882WTJAK5UIIVBW&url=%2FSony-X800H-Inch-Compatibility-XBR75X800H%2Fdp%2FB083R354VH%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dhd%2Btv%26qid%3D1585364505%26sr%3D8-18-spons%26psc%3D1&qualifier=1585364504&id=7468430639703371&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/71UjszdEcgL._AC_UY654_QL65_ML3_.jpg,4.5,26,"$1,498.00",True,,4,False
VIZIO V405-G9 40 Inch Class V-Series 4K HDR Smart TV (Renewed),https://amazon.com/VIZIO-V405-G9-Class-Smart-Renewed/dp/B07T745LPZ/ref=sr_1_19?keywords=hd+tv&qid=1585364505&sr=8-19,https://m.media-amazon.com/images/I/71aXoET1FAL._AC_UY654_QL65_ML3_.jpg,4.1,120,$224.95,True,,17,False
"Samsung Electronics 4K Smart LED TV (2018), 43"" (UN43NU6900FXZA)",https://amazon.com/Samsung-Electronics-Smart-LED-UN43NU6900FXZA/dp/B07F1T4JFB/ref=sr_1_20?keywords=hd+tv&qid=1585364505&sr=8-20,https://m.media-amazon.com/images/I/A1LBkD12AHL._AC_UY654_QL65_ML3_.jpg,4.3,754,$267.99,True,,,True
Samsung QN65Q60RAFXZA Flat 65-Inch QLED 4K Q60 Series Ultra HD Smart TV with HDR and Alexa Compatibility (2019 Model),https://amazon.com/Samsung-QN65Q60RAFXZA-Flat-QLED-Smart/dp/B07N4L5VYG/ref=sr_1_21?keywords=hd+tv&qid=1585364505&sr=8-21,https://m.media-amazon.com/images/I/813h5-Y1hIL._AC_UY654_QL65_ML3_.jpg,4.6,1609,,True,,,False
"TCL 50"" Class 5-Series 4K UHD Dolby Vision HDR Roku Smart TV - 50S525",https://amazon.com/TCL-Class-Dolby-Vision-Smart/dp/B07S7YLRJR/ref=sr_1_22?keywords=hd+tv&qid=1585364505&sr=8-22,https://m.media-amazon.com/images/I/91mqp0z-TiL._AC_UY654_QL65_ML3_.jpg,4.4,1269,$319.99,True,,,True
TCL 40S325 40 Inch 1080p Smart LED Roku TV (2019) (Renewed),https://amazon.com/TCL-40S325-1080p-Smart-Renewed/dp/B07QZZV9FK/ref=sr_1_23?keywords=hd+tv&qid=1585364505&sr=8-23,https://m.media-amazon.com/images/I/51cnXUUgyJL._AC_UY654_QL65_ML3_.jpg,4.0,59,,False,,,True
"[2020 Latest] HDTV Antenna Indoor Digital TV Antenna, 60 Miles Range with Amplified Signal Booster Support 4K 1080P Freeview Channels - 13.2Ft Coaxial Cable and Power Adapter",https://amazon.com/Antenna-Digital-Amplified-Freeview-Channels/dp/B084MMCS28/ref=sr_1_24?keywords=hd+tv&qid=1585364505&sr=8-24,https://m.media-amazon.com/images/I/71xUd90-s6L._AC_UY654_QL65_ML3_.jpg,4.8,87,$12.99,True,,,False
"LG 49SM8600PUA Nano 8 Series 49"" 4K Ultra HD Smart LED NanoCell TV (2019), Black",https://amazon.com/LG-49SM8600PUA-Ultra-Smart-NanoCell/dp/B07PQ96G5J/ref=sr_1_25?keywords=hd+tv&qid=1585364505&sr=8-25,https://m.media-amazon.com/images/I/81Q0Nzhc1BL._AC_UY654_QL65_ML3_.jpg,4.5,636,$546.99,True,,,True
"Sceptre Android TV A322BV-SRC 32-inch Smart LED HD TV Google Assistant Chromecast Bluetooth Remote, Machine Black 2020",https://amazon.com/Sceptre-A322BV-SRC-Assistant-Chromecast-Bluetooth/dp/B0821VFDPZ/ref=sr_1_26?keywords=hd+tv&qid=1585364505&sr=8-26,https://m.media-amazon.com/images/I/81I3i+n7pAL._AC_UY654_QL65_ML3_.jpg,3.8,69,$139.99,True,,,False
Echo Show 5 – stay connected and in touch with Alexa - Charcoal,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07213802W7EJS1ZDRG9I&url=%2FIntroducing-Echo-Show-Compact-Charcoal%2Fdp%2FB07HZLHPKP%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dhd%2Btv%26qid%3D1585364505%26sr%3D8-27-spons%26psc%3D1&qualifier=1585364504&id=7468430639703371&widgetName=sp_mtf,https://m.media-amazon.com/images/I/5114Id3gfRL._AC_UY654_QL65_ML3_.jpg,4.5,94116,$89.99,True,,,False
